Word,Part of Speech,Meaning,Example (Wolaytta),Example (English)
irxxa,adjective,play%,"Taani naatettan daydda toho kuwaasiya 
kaa'aas.",I used to play soccer when I was a boy.%
irxxa,adjective,"joke; tease; mock; sneer; 
scorn; jeer%",Asay tukkiya uyiiddi darotoo kaa'ees/naacees.,"People often joke 
when they drink coffee.%(syn) [naaciis, qiriis, qilliiciis]%"
irxxa,adjective,"spend, use 
something more%(syn) [toskkayiis, shombbayiis, kessiis]%",,
irxxa,adjective,"become terrible, 
become mean%",Ooso keettaa gadaaway oosanchchatu bolli kaa'iis.,"The head of 
our office was mean to the workers."
kariya,noun,doorstep; gate%,,
kariya,noun,door%,A kariya gorddada uttaasu.,"After she 
had closed the door, she sat down.%"
kariya,noun,outside%,"Hayyanintta, asttamaariyanttoo, kare kiyo?","Excuse me, may I
go outside, teacher?%"
kariya,noun,"outdoor, open air%",aaho kariya,a wide doorstep
kawushsha,adjective,light (weight)%,"Ha toohoy keehi kawushsha; guutta 
na'ikka tookkanawu danddayees.","This load is so light; even a little child can 
lift it.%(syn) [koshosho, kifiliina, deexxenna]%"
kawushsha,adjective,easy; simple; uncomplicated;,,
layttaa,noun,year%,Layttay 365 gallassa.,A year is 365 days.%
layttaa,noun,age%,"Taayyoo layttay 
uddufunan de'ishin timirttiya doommaas.","I started school at the age of nine.%
(syn) [yeleta layttaa, bariya]%"
layttaa,noun,life %,Asay ubbay ba layttaa addussana koyees.,Everybody likes to prolong his/her life.
maachchaa,noun,promise; pledge%,"Ammanettiya asi ba gelido maachchaa 
naagees.","A reliable person keeps his promise.%(syn) [qashuwa, kuushshaa.]%"
maachchaa,noun,"covenant, mutual promises of God and the Israelites%",,
maachchaa,noun,contract; treaty; pact%,Nu ha oosuwa maachchaa gelidoogaa maaran issi layttan polanawu bessees.,"We 
have to complete this work within a year in accordance with the contract.%"
maachchaa,noun,decision; conclusion%,"Nuuni ubbaykka maachchaappe kasetidi nu dabbotuppenne 
laggetuppe zoriya ekkanaw koyoos.","All of us seek the counsel of our relatives 
and friends before making an important decision.%(syn) [timettaa, wurssettaa, 
kuushshaa.]"
macaraa,noun,"evidence, data, often in the form of facts or figure%","Ha 
macaray cora woradatuppe/allaanatuppe shiiqqiis.","This data was collected from 
several districts.%"
macaraa,noun,"information, or facts or details 
about something or somebody%",Nuuni xaaciyassi macaraa immida.,"We gave 
information to the policeman.%"
macaraa,noun,owner (of something),,
meqettaa,noun,bone%,Kanay meqettaa xoggees.,"The dog is chewing the bone.
%"
meqettaa,noun,"status, 
social status (inherited)%",Asay meqettaw baadees.,"People struggle for social 
status.%(syn) [aannisaa meqettaa, meraa meqettaa, oonatettaa, aannisaa.]%"
pattenna,adjective,trivial; frivolous; futile; pointless; petty%,Pattennabaa oottaydda ne wodiya coo wurssoppa.,"Don't waste your time doing 
trivial things.%"
pattenna,adjective,minor (things)%,"He pattennabaa taassi 
odoppa.",Don't tell me about such a minor thing.%
pattenna,adjective,incurable%,pattenna hargge,
pattenna,adjective,trivial; frivolous; futile; pointless; petty%,Pattennabaa oottaydda ne wodiya coo wurssoppa.,"Don't waste your time doing 
trivial things.%"
pattenna,adjective,minor (things)%,"He pattennabaa taassi 
odoppa.",Don't tell me about such a minor thing.%
pattenna,adjective,incurable%,pattenna hargge,
qayye,adjective,"unripe, not yet ripe or mature%","Toophphiyan daro asay qaye
ashuwa meettaa meezetiis.","In Ethiopia, people are accustomed to eating raw 
meat.%(syn) [qaw'e, ka""enna.]%"
qayye,adjective,"raw, not having been cooked%","Qayye boynaa 
piitiyogee shugo kushiya poogissanawu danddayees.","Peeling a raw yam can burn 
an inexperienced person's hand.%"
qayye,adjective,"cruel; 
brutal; ruthless%",La ayba meqettaa qayye asee! Bari yelo na'iyo qanggawusu.,What a cruel woman she is! She curses her own daughter.
xaliya,noun,medicine; pill; tablet; healer%,"Dottoree hargganchchaassi 
xaliya azaziis.",The doctor prescribed medicine for the patient.%
xaliya,noun,savior; healer%,"Geeshsha Maxaafay 
yootiyogaadan, Yesuusayyoo hara sunttay xaliya.","According to the Holy Bible, 
Savior is another name for Jesus.%"
xaliya,noun,poison%,"Ha xaliya uyikko, hayqqaasa.","You 
will die if you drink this poison.%(syn) [marzziya.]"
yedetaa,noun,chasing; pursuing%,"Kaysuwa yedetay heerawu keehi 
koshshiyabaa.","Pursuing the thief was important to the villagers.%(syn) 
[goodaa, baanaa barssuwa]%"
yedetaa,noun,dismissal; exile%,"Wayssiya tamaaree zorin ixxikko, 
yedetaa koshshees.","If a student disregards the advice of the school, he 
deserves dismissal.%"
yedetaa,noun,persecution%,"Daro asaa ammanuwa 
gaasuwan yedetay gakkiis.","Many people faced persecution due to their religious
beliefs."
aappunee,pronoun,"how much, how many%",Issi kilo badalaa gatee aappunee?,How much does a kilo of maize cost?%
aappunee,pronoun,what; how%,Saatee aappunee?,What time is it?%
aappunee,pronoun,"how much, how many%",Issi kilo badalaa gatee aappunee?,How much does a kilo of maize cost?%
aappunee,pronoun,what; how%,Saatee aappunee?,What time is it?%
atettaa,noun,lagging; lateness%,"Qeeraatiya na'ay koyroppe hemetaa aggidi 
guye atettaa doommiis.","The smallest son started lagging behind from the very 
beginning of the walk.%"
eeshshaa,noun,behavior; conduct; characteristic; character; manner %,"Issi 
uraa eeshshay A/I meraappe aadhdhidi go''ees.","One's behavior is more important
than his/her appearance. %"
eeshshaa,noun,habit; manner %,"Ne ha iita eeshshaa aggiyakko lo""o.",You had better avoid these bad habits. %
gallassaa,noun,day%,Issi gallassan laatamanne-oyddu saatee de'ees.,"A day
is twenty-four hours.%"
gallassaa,noun,"midday, noon, sunrise up to sunset, twelve o'clock in the day, or 
the middle of the day%",Godaree gallassi hemettanaw danddayenna.,"A hyena 
cannot move from place to place at midday.%"
gallassaa,noun,date%,"Gallassay tamme 
23ntta.",The date is 23rd of June.
hanttaara,adjective,"callous; severe; savage; murderous; wicked; bad; evil; 
cruel; violent; vicious%","I keehi hanttaara asa giddiyogaappe denddidaagan bari 
kaalo ishaa addinaa shemppuwa woriis.","He was such a callous man that he 
murdered his own younger brother.%"
hanttaara,adjective,"alert, bright, quick 
thinking, sharp-witted, quick-witted, shrewd, astute, intelligent%","Ha hnattaara
na'iya oosuwawu hanttaara.",The bright girl does good work
maaraa,noun,order; row; line%,Maaraa naagada utta.,Sit in a row.%
maaraa,noun,"discipline
%",Shori baynna tamaaree naati maaraa yeddidosona.,"Naughty students need 
discipline.%"
maaraa,noun,system%,kawotettaa maaraa mankkaa,"system of government%(syn) 
[ogiya, hiillaa.]"
aa,noun,earth; ground; land%,"Asay sa'an diya medoosa ubbaappekka 
cincca.",Man is the wisest animal on the earth.%
aa,noun,world%(syn) [alamiya.]%,,
aa,noun,"life, 
living situation%",Issoy issuwara olettiyo wode sa'aa duussay metees.,"Life is 
difficult during the civil war.%(syn) [duussaa.]"
asatettaa,noun,body%,Nu asatettaa payyatettaassi payya qumaa miikko lo''o.,"For the health of our body, we should eat healthy food.%"
asatettaa,noun,"humanity; 
personality; kindness; charity; compassion; sympathy; mercy; benevolence%","A 
keettaayeessi asatettay de'ees.",His wife has sympathy for others.%
cachchaa,noun,pricking; stabbing; piercing %,"He panggaassi bollan darosan 
cachchay de'ees.","There is a great deal of piercings on the body of the robber.
%(syn) [torppayuwa, wayqettaa, wolloqettaa]%"
cachchaa,noun,pounding %,,
cachchaa,noun,"gift, a gift presented
at a wedding %",Ta A na'aa bullachchaw afalaa cachchaa ekkaas.,"I promised to 
give cotton blanket for his son's wedding. %"
cachchaa,noun,tattoo %,qooriya cachchaa,tattoo on the neck %
cachchaa,noun,"full stop, dot",,
mata,adjective,near; close; intimate%,"Konddomiineemiyan de'iya asay issoy 
issuwakko keehi matattidi de'iyogaa dosoosona.","They like the idea of living so
close to so many people in the condominium.%"
mata,adjective,intimate%,"Na'ay 
taassi mata lagge giddikkonne I hachchi ta bolli balabaa oottiis.","Although we 
are intimate friends, the boy was rude to me.%"
mata,adjective,recent; late%,"Matan hanidabati 
A yiilloyidosona.",Recent happenings have upset him.%
meeziya,noun,"experience, previous situation, knowledge gained from previous",,
oduwa,noun,telling%,Shilootan worddo odoy wogaa kanttiyogaa.,"Telling a 
lie in court is illegal.%(syn) [yootuwa]%"
oduwa,noun,story%,,
oduwa,noun,information; talk%,,
oduwa,noun,report%,Missa missa layttan nuuni halaqaassi oduwa/pissiya shiishsheettees.,"Each 
quarter we gave a report to our supervisor.%(syn) [erissuwa, pissiya, maganaa]%"
asaa,noun,"man, mankind, person, human being, population, society, community
%",Asi qoppes.Xoossi polees.,Man proposes. God fulfills.%
ayfiya,noun,eye%,Nuuni nu ayfiyan xeelleettees.,We see with our eyes.%
ayfiya,noun,seed; crop%,mittaa ayfiya,"seed 
of a plant%"
ayfiya,noun,consequence; result; outcome; effect%,"Ushshaa 
uyiyogawu ayfee mattottiyogaa.","The consequence of drinking liquor is 
intoxication.%(syn) [murutaa]%"
ayfiya,noun,"blade (of an ax, knife, spear, etc.)",,
ayfiya,noun,eye%,Nuuni nu ayfiyan xeelleettees.,We see with our eyes.%
ayfiya,noun,seed; crop%,mittaa ayfiya,"seed 
of a plant%"
ayfiya,noun,consequence; result; outcome; effect%,"Ushshaa 
uyiyogawu ayfee mattottiyogaa.","The consequence of drinking liquor is 
intoxication.%(syn) [murutaa]%"
ayfiya,noun,"blade (of an ax, knife, spear, etc.)",,
daro,adjective,"much, many, a lot of, abundant, maximum, immense, 
innumerable, numerous%",Daro naati tamaare keettaa otobisiyan boosona.,"Many 
children go to school by bus. %"
daro,adjective,"a lot, more%",I bari ishaatoo daro haasayees.,"He 
talks a lot like his brother.%"
daro,adjective,"very daro lo""o 
very good",,
dichchaa,noun,growth (physical)%,Mitta ubbaa dichchay issuwa gidenna.,The growth of every tree is not the same.%(syn) [purggettaa.]%
dichchaa,noun,development%,"Issi biittaa dichchaa sugidi ehaanaadan allaga biittaa qohoy daanaw 
koshshennaagee ammanettidaagaa.","It is believed that a country should pursue 
development without outside influence.%"
dichchaa,noun,"increment; increase; addition; augmentation; 
raise; rise; boost%","Guutta wodiya zal''i simmin, zal''ee dichchaa bessiis.","After a few times of trading, the capital showed increase.%"
dichchaa,noun,"interest (borrowing
charge or payment)%(syn) [kalaasiya, xiiliya.]",,
kaamiya,noun,car; vehicle%,"Ta ishay kaamiya akeekkan laaggees; ay daafikka
A gaakkenna.",My brother drives the car carefully; he doesn't have accidents.%
kaamiya,noun,street; road; way; path%,"Godaree kaamiya qammi hemettanaw
yayyees.",A hyena is afraid of walking on the streets at night.
keettaa,noun,house; mansion%,Taani yelettido keettan de'ays.,"I live in 
the house where I was born.%"
keettaa,noun,home%,I nu keettaa geli erenna.,"He 
has never entered our home.%"
keettaa,noun,floor%,"Hayyanaa, keettaa meeccuutee?","Would you 
clean the floor, please?%"
keettaa,noun,family%,Keettaa asay gita katamaa yeehuwa biis.,The whole family traveled to the city for the funeral.
xala,adjective,bold; daring; reckless%,"Kaamiya laaggiya xala bitanee asa 
ubbaa daafan gelissiis.",The reckless driver placed everyone in danger.%
xala,adjective,"presumptuous; 
disrespectful; overconfident%","Nuuni kaamiya garxxarkkii giidi oychchiyogee nuna
xala giissanddeeshsha?","Would it be presumptuous of us to ask to borrow your 
car?%"
zaaruwa,noun,answer; reply; response%,"Ha oyshawu zaaruwa asttamaariyappe 
attin haray oonne demmanawu danddayenna.","Nobody can find the answer to this 
question except the teacher.%"
zaaruwa,noun,proposal%,A ta oyshawu ay zaaronne immabeykku.,"She she didn't 
give any response to my proposal.%"
zaaruwa,noun,panacea; solution; remedy%,"Issippetettaa 
duussaa metuwassi zaaruwa demmanawu asay baaxetanawu bessees.","People should 
work hard to bring about a solution for social ills."
eraa,noun,knowledge; wisdom; awareness%,Eri poo'o.,Knowledge is light.%
eraa,noun,ability; skill; capacity%,"Era giyogee issibaa oottanaw 
danddayiyogaa.",Skill is being able to do something.%
qaalaa,noun,language%,Latine xuufee daro Toophphe qaalatussi injjetees.,Latin script is found to be convenient for many Ethiopian languages.%
qaalaa,noun,word%,Cenggurssati issippe gayttidi qaalaa medhdhoosona.,"The
connection of sounds makes a word.%"
qaalaa,noun,sound; voice%,"Qaala qaattoppa, hayyanaa.","Don't make any sound, please.%"
qaalaa,noun,promise%,"Taani iyyoo worqqaa immanaw 
qaalaa gelaas.",I made a promise to give her gold.
saatiya,noun,watch; clock%,"A: Sa'ay ha""i woqqu saatee?","A: What time is 
it, now?%"
saatiya,noun,hour%,Issi saatee usuppun tammu daqiiqa.,"An hour has sixty minutes.
%"
saatiya,noun,time%,"Eesota, 
nu saatiya xuuggoppa.","Hurry up, don't waste our time.%"
seeraa,noun,"law, the whole system of rules that everyone in a country or 
society must obey%",Ooninne seeraappe bolla gidenna.,"No one is above the law.
%"
seeraa,noun,"punishment, 
an act or a way of punishing somebody%",Shemppuwa woruwassi ayba seeray de'ii?,What is the punishment for murder?%
seeraa,noun,reprimand; rebuke; warning%,"Simeretuwa xaaciya takisiya laaggiyagaassi 
wolqqaama seeraa immaasu.","The traffic police woman gave the taxi driver a 
strong warning.%"
seeraa,noun,"discipline%(syn) [shoraa, maaraa mankkaa, kandduwa.]",,
iita,adjective,bad; wicked; unpleasant; menacing; evil; malicious%,iita,
o,adjective,1. good; well; fine%,"Lo""o aysoy dichchaassi baaso.","Good 
governance is a basis for development.%"
o,adjective,beautiful; lovely; elegant; smart; handsome; pretty; charming; attractive%,"lo""o ciishshaa",a beautiful flower%
miishshaa,noun,money%,I dure; assi daro miishshay de'ees.,"He is rich; he
has a great deal of money.%"
miishshaa,noun,"wealth; estate; affluence; prosperity%(syn) [duretaa, 
wogetaa, gidaa.]%",,
miishshaa,noun,property; asset; belonging%,,
miishshaa,noun,tool; equipment; material;,,
hiillaa,noun,deftness; adroitness; handiness; agility; nimbleness;,,
deriya,noun,mountain%,Ras Dashenee Toophphiyan diya dere ubbaappe xoqqees.,Ras Dashen is the tallest mountain inEthiopia.%
deriya,noun,public; people; mass; men%,Deree kanttifaa katamaa koochchana/wokkalana mala naa''antto dooriis.,"The 
people chose the mayor for the second time as a representative of the town.%"
deriya,noun,everybody%,Deree nenaara haasayanaw koyees.,Everybody wants to talk to you.%3. noun%
deriya,noun,outside (usually for places)%,"A: Ne 
laggee awa biidee?",A: Where did your friend go?%
deriya,noun,country%(syn) [biittaa]%,,
deriya,noun,nation%,Toophphiyan aappun deree de'ii?,How many nations are in Ethiopia?%(syn) [biittaa]
Amaarattuwa,noun,Amharic%(syn) [Amaara Qaalaa.],,
aadhddhiyosaa,noun,"way through, passage, passageway%(syn)[aadhdhiyo ogiya]
aabboo'ana%1. interjection%",,
aadhddhiyosaa,noun,"woe,alas(an expression of distress)%(syn)
[aayyee'ana, aayyee, biittawu, ashkke, hayttay kehaa siyo, hayttawu kare]
aadhdhida laytti%1. adverb%",,
aadhddhiyosaa,noun,last year%(syn)[zillaytti],,
aagaa,pronoun,"his(third person singular)%(syn) [abaa]
aakime soo%1. noun%",,
aagaa,pronoun,hospital%(syn) [aakime keettaa],,
aannisaa,noun,"identity%(syn)[meqettaa, aannisaa meqettaa, meraa meqettaa, 
oonatettaa]",,
aasettaa,noun,"widening; broadening; extendability; expandability%(syn)
[ padetting, xagaagettaa ]
aatti imuwa%1. noun%",,
aasettaa,noun,"betrayal%(syn)[kaashi laalettaa]
aawu aalo%1. adjective%",,
aasettaa,noun,"familiar; usual%(syn)[wottin diyaba, meezettidoba]
aayee aawaa%1. noun%",,
aasettaa,noun,"grandfather (maternal)%(syn) [wogga aawaa, aawaa aawa]",,
aayetetta,noun,motherhood%,,
aayetetta,noun,"responsibility(maternal)
aayyee'ana%1. interjection%",,
aayetetta,noun,"woe; alas(an expression of distress)%(syn)
[aabboo'ana, aayyee, biittawu ashkke]",,
abaaliya,noun,chief(in older days)%(syn)[haaqqaa],,
abaraadettaa,noun,"death throes, convulsion%",,
abaraadettaa,noun,desperate need,,
abbaa,noun,"dad, used to address one's father%",,
abbaa,noun,"Abbaa, Abba(used to address 
God)
abbe ixetaa%1. noun%",,
abbaa,noun,"pregnancy%(syn)[wodee wuridooro, ixeta]",,
aciya,noun,sand%(syn)[shafiya],,
adaashiniya,noun,"tax collector%(syn)[qaraxa shiishshiyagaa, cophishuwa 
shiishshiyagaa]",,
adaba,adjective,long-lasting; durable %,,
adaba,adjective,courteous; polite,,
adiki,interjection,"shoo away, chase off, drive away, frighten away, scare 
off(of goats)%(syn)[aziki]",,
adusa,adjective,"long; tall %(syn)[loophphaase, zolonggo, lookiina, 
lakkeessa, lakakka]",,
afuluuquwa,noun,"doing, making, work(usually done carelessly)%(syn)
[sholometta, sholqqetta, purxxettaa]
afuttaa miis%1. intransitive verb%",,
afuluuquwa,noun,"cry; weep; sob%(syn)[holssattiis, yeekkiis, 
afuxxiis, soosiis]",,
afuxxiya,adjective,"tearful; weepy%(syn)[holssiina, yeekkiya]
agaagaa iitatettaa%1. noun%",,
afuxxiya,adjective,"cruelty; ruthlessness; brutality; inhumanity%(syn) 
[palaa, meqettaa iitatettaa, meqettaa xayuwa, iitaa, maracciya iitatettaa, 
maracciya wordduwa, zokkuwa zaaruwa]
aggaaga iita%1. adjective%",,
afuxxiya,adjective,"cruel; ruthless; brutal; inhumane%(syn) [iita, 
meqetti baynna, suutti baynna, pala, biittaa goggiya, meqettaa iita, bodoojje, 
aja, oso, ajaajje, hanccaama, maracciya iita, maracciya worddo, wozanaa 
shuchcha, hanttaara, qareti baynna, kehatetti baynna.]",,
aggettuwa,noun,"rebellion, riot(violent public disturbance)%(syn)[anni 
annaa, busubulliya]",,
aja,adjective,"hostile; moody; bad-tempered; irritable; malicious; evil%
(syn)[iita, hanccaama, bodoojjie, oso, ajaajje, hanccaama, maracciya iita, 
maracciya worddo, wozanaa shuchcha, hanttaara, qareti baynna, kehatetti baynna]",,
ajuubaa,noun,"cold; chill%(syn)[meeguwa]
akashaasha akasha%1. adjective%",,
ajuubaa,noun,careless; slapdash; casual; slipshod; sloppy%,,
ajuubaa,noun,"foolish; silly; dull; unintelligent; not understanding; imprudent; thoughtless; 
irrational; stupid; rash; reckless
akataa ekkiis%1. transitive verb%",,
ajuubaa,noun,"exhaust; weaken; fatigue%(syn)[daafurssiis, 
wolqqan geliis]
akataa ekkuwa%1. noun%",,
ajuubaa,noun,exhaustion ; toil; toil; tiredness; feebleness;,,
akkay,interjection,"no, of course not (in answer to a question)%(syn)
[ixxisi, chii, kashi, halluuti]",,
akkeechcho,noun,milking (of a cow being milked when its calf died)%,,
akkeechcho,noun,"old 
cow (which stopped giving birth)",,
aktteriya,noun,"actor, actress, somebody who acts in plays, movies, or",,
alanggiya,noun,whip %(syn)[lissuwa],,
alenna,adjective,unsatisfactory; insufficient%(syn)[kalissenna],,
alkkooliya,noun,alcohol; liquor%(syn) [haraqiya].,,
allaatte,adjective,"spotted; patchy; mottled; splotchy%(syn) [kalaade, 
gazza, punccare.]",,
allaattiqabeessuwa,noun,"vulture, bigger in size and spotted%(syn) 
[allaattiya.]",,
allaattiya,noun,"vulture, bigger in size and spotted%(syn) 
[allaattiqabeessuwa.]",,
allagatettaa,noun,wickedness%,,
allagatettaa,noun,strangeness,,
aláá,noun,"reed%(syn)[dalgga ceeccaa]
amaamiis %1. intransitive verb%",,
aláá,noun,"be strong, be powerful, dominate, rule%(syn) 
[minniis , goobiis , saluwa yambbariis, s aluwa gakkiis, dadawu guulluwa oliis ,
xoqqiis , dadawu yambbariis, shaaraara salliis, shaaran toggiis , saluwan tamaa 
shociis, saluwa qayciis, hannanniis]
Amaara Qaalaa%1. noun%",,
aláá,noun,Amharic%(syn) [Amaarattuwa.],,
ambbaa,noun,"hill, mound, high ground, raised area, an area of land higher 
than its surroundings%",,
ambbaa,noun,town,,
amottiya,adjective,"lustful; wishful%(syn) [yooqiina, qaaqqatiya]",,
amppettaa,noun,"help; assistance; aid; support%(syn) [maaduwa, miyyiya , 
kaafiya, morggiya ohettaa, zemppuwa, tuuqiya, techchaa]",,
ananoote,adjective,"big; great; huge; massive; large; tall; awesome%(syn) 
[wogga, gita, xawulle, bambballooma, gagate, gagisa, maagula, axxo, axuma, dada,
zeekeele, xeere, xeeppula, xeeppo, anuufa, anuca, xaane, xawudala, manne, geere,
xekese, xoyllo, tennejja, yaakula, baa'ula, xettemere, yam''araara, axuure, 
xankkula, teebuxa, yambbulla, bobboxaama, bam''ula, baadoochche, dawulla, 
ga'usha, abuulla, yambbareessa, anuuca, banne, gachchaama, moydore, tuqa, 
xul''eebba, ban''a, ordde, tonne, xambbalaqa, dalbba, sannaca, xaamoochche, 
xalbbuqa, naanno, wolqqaama, deexo]",,
ananoote,adjective,"big; great; huge; massive; large; tall; awesome%(syn) 
[wogga, gita, xawulle, bambballooma, gagate, gagisa, maagula, axxo, axuma, dada,
zeekeele, xeere, xeeppula, xeeppo, anuufa, anuca, xaane, xawudala, manne, geere]",,
anggaawa,adjective,"powerful; energetic%(syn) [wolqqaama, gadabule, 
garddaawa]
anggata (anggati) %1. interjection%",,
anggaawa,adjective,"awesome, a word by people who heard a 
strange sound like thunder etc., a word of honor%(syn) [hoola, ezggo]",,
anggiliya,noun,angle%(syn) [zooziya],,
anggooliya,noun,"brain, organ inside the head which controls movement, 
thought, memory, and feeling%(syn) [huuphiya]
ano qofaa%1. noun%",,
anggooliya,noun,"theme, main idea, principle%(syn)  [kane qofaa, bayra qofaa,
kuushsha qofaa]",,
anuca,adjective,"big; great; huge; massive; -large; tall; awesome%(syn) 
[wogga, gita, xawulle, bambballooma, gagate, gagisa, maagula, axxo, axuma, dada,
zeekeele, xeere, xeeppula, xeeppo, anuufa, xaane, xawudala, manne, geere, 
xekese, xoyllo, tennejja]",,
anuuca,adjective,"large; huge%(syn) [wogga , gita , xawulle, bambballooma, 
gagate, gagisa, maagula, axxo, axuma, dada, zeekeele, xeere, xeeppula, xeeppo, 
anuufa, xaane, xawudala, manne, geere, xekese, xoyllo, tennejja]
aquwa peeshshaa%1. noun%",,
anuuca,adjective,"asset%(syn) [xee'uwa, aquwa, diyabaa, aqotaa, gidaa , 
haaruwa]
ar''iya%1. noun%",,
anuuca,adjective,"leap; jump; skip; hop%(syn) [xaallootiya, gufaa, pirettaa]",,
arettaa,noun,"goring, butting, when one animal butts and chases another",,
arikiyay,interjection,"shoo away, a word used to shoo away a cow%",,
arikiyay,interjection,"shoo 
away, chase off, drive away, frighten away, scare off",,
arkkuwa,noun,"overcast sky; mist%(syn) [gubbanaa, gaappuwa, ciggaaraa]",,
arssaa,noun,"bed (local, wooden bed)%(syn) [korbbiya]
asa ayfiya%1. noun%",,
arssaa,noun,"evil eye (which does not kill people, but harms them)%(syn)
[higishshaa]",,
ashanqqenna,adjective,"dogmatic; opinionated; arrogant%(syn) [kejejja , 
looxigenna]",,
ashkkariyo,noun,"maidservant, woman servant%(syn) [asiyo]
asi baynnasaa%1. noun%",,
ashkkariyo,noun,"lonely place, empty place%(syn) [baysa, buta sohuwa, 
butaa]",,
asiyo,noun,"maid; woman servant%(syn) [ashkkariyo]
atotettaa oychchiis%1. transitive verb%",,
asiyo,noun,"apologize%(syn) [tohuwan wulliis, 
mooraas giis]",,
attamiyagaa,noun,"printer, a machine for printing%",,
attamiyagaa,noun,"publisher, a publishing 
company or a person",,
attumaa,noun,"boy; male%(syn) [addiya]
awa ayfiya genttuwa%1. noun%",,
attumaa,noun,"eclipse, when another astronomical object comes 
between the sun and the observer %(syn) [awa genttuwa]",,
awaaqe,adjective,deceiving; pretending%(syn) [ele],,
awaaqiya,noun,deception; delinquency%(syn) [eliya],,
awaasiya,noun,"mediation; reconciliation%(syn) [sigetissuwa]
away wulliyosaa%1. noun%",,
awaasiya,noun,west%(syn) [arggo],,
awugaakko,pronoun,someone; somebody%(syn) [oonakko],,
awulayiya,noun,"growth spurt, quickened kind of growth exhibited by some 
animals or human beings in various courses of time %",,
awulayiya,noun,"giving birth, giving birth
before the expected time (otherwise a normal birth)",,
awunnokko,pronoun,"which (female)%(syn) [issinniyo]
awutiya ashettaa%1. noun%",,
awunnokko,pronoun,vengeance; revenge%(syn) [haluwa kessuwa],,
axuma,adjective,"big; great; huge; massive; large; tall; awesome%(syn) 
[wogga, gita, xawulle, bambballooma, gagate, gagisa, maagula, axxo, dada, 
zeekeele, xeere, xeeppula, xeeppo, anuufa, anuca, xaane]",,
axumaa,noun,dirt; filth; blot; stain; garbage; rubbish; litter; muck;,,
axuure,adjective,"big; great; huge; massive; large; tall; awesome%(syn) 
[wogga, gita, xawulle, bambballooma, gagate, gagisa, maagula, axxo, dada, 
zeekeele, xeere, xeeppula, xeeppo, anuufa, anuca, xaane]",,
axxo,adjective,"big; great; huge; massive; large; tall; awesome; giant%(syn)
[wogga, gita, xawulle, bambballooma, gagate, gagisa, maagula, axxo, dada, 
zeekeele, xeere, xeeppula, xeeppo, anuufa, anuca, xaane]
ay peeshshaa%1. adverb%",,
axxo,adjective,"how long%(syn) [ay keenaa, woqqa keenaa]
ay wode%1. adverb%",,
axxo,adjective,"when, at what time%(syn) [awude, woysaade]",,
aybinne,pronoun,nothing%,,
aybinne,pronoun,"anything
ayfee demmenna%1. adjective%",,
aybinne,pronoun,"blind, with no sight%(syn) [qooqe]
ayfee kehaa be'o%1. interjection%",,
aybinne,pronoun,"tsk; alas; oh%(syn) [haddiro, poora , haakko,
pala ekko, gattoppo]
ayfenne akkirssa%1. adjective%",,
aybinne,pronoun,"adversarial; hostile; antagonistic%(syn) 
[baarigaara, morkke, diina]
ayfiya ayfiyara gattiis%1. intransitive verb%",,
aybinne,pronoun,"sleep; nap; slumber%(syn) 
[ichchiis, xiskkiis, zin''iis]
ayfiyan eqqiis%1. transitive verb%",,
aybinne,pronoun,"long; desire; praise; yearn; wish%(syn) 
[suddu giis]
ayfiyan geli qum''enna%1. adjective%",,
aybinne,pronoun,"tiny; few; small; little; vestige%(syn) 
[qiiba, guutta, daro guutta, qaxana , xoyta]
aykko erenna%1. adjective%",,
aybinne,pronoun,"illiterate; ignorant; uneducated%(syn) [aynne 
erenna]",,
aykko,pronoun,"nothing%(syn) [aynnekka, aybanne, aynne]",,
aylleyiyogaa,noun,enslavement%(syn) [haariyogaa],,
aylliya,noun,"slave, in former times, one person who was purchased and 
forced to work for another person%(syn) [godabushuwa, luggaamiya, 
ginddaaborjjiya]
aynne erenna%1. adjective%",,
aylliya,noun,"illiterate; ignorant; uneducated%(syn) [aykko 
erenna]",,
ayraa,noun,"skin, hide (newly skinned and untanned)%(syn) [calaa, galbbaa, 
agoziya, yancciya, itiya, dabbaa]
ayso gatimaa%1. noun%",,
ayraa,noun,"scepter, staff used as royal emblem%(syn) [ayso xamm''aa,
hentta xam""aa]",,
azabbaa,noun,"unplanted vegetable, of plants or vegetables that are not 
planted or sown, the remaining grains or root plants after the main yield is 
taken away%(syn) [codiya]",,
aziki,interjection,"shoo away, chase off, drive away, frighten away, scare 
off (of goats)%(syn) [adiki]
azinaa aawaa%1. noun%",,
aziki,interjection,"lord (a name given to father-in-law by a son's wife or a 
daughter's husband due to respect)%(syn) [na'ee azinaa, bolluwa, godaata]
azinaa aayyiyo%1. noun%",,
aziki,interjection,"mother-in-law, the mother of a person's spouse%(syn) 
[godentta, bollotiyo, machchee aayyiyo]
azinay karen yelidoogaa%1. noun%",,
aziki,interjection,"bastard, a boy who was born out of legal",,
azzaniya,adjective,"sorry; remorseful; repentant; sad; unhappy%(syn) 
[kayyottiya]
baa'ula%1. adjective%",,
